type,name,lat,long,id,fac,description,abbr,openingtimes,image,link,hideinlhmenu
bus_stop,"University Drive, Stop C",52.62276046,1.243466735,nfodjgpd,,"For buses: 9 Wymondham, 604 New Costessey, Park & Ride and drop off for buses from the city centre",bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"Bluebell Road, The Avenues, opp",52.62403374,1.247667074,nfodjptw,,For buses towards city centre,bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"Bluebell Road, adj North Park Avenue",52.6201975,1.247007251,nfodjtja,,For buses towards city centre,bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"Earlham Road, adj Earlham Park Gates",52.62809432,1.241261959,nfodjptj,,"For buses: 4 (Swanton Morley and Dereham), 3 (Watton), 15 Shipdham, Eastgate",bus,,,,
bus_stop,"Bluebell Road, opp North Park Avenue",52.6203929,1.246824861,nfodjtgw,,Drop off for buses from city centre,bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"Earlham Road, opp Earlham Park Gates",52.62821,1.24083,nfogmjtd,,"For buses: 4,3 to Norwich City centre (bus station)",bus,,,,
cafe,Bio Cafe,52.62095956,1.236450076,,,"Bio Cafe is home to the great taste of Grumpy Mule coffee and offers two different blends for you to choose from. Hot food is available as well as a great range of sandwiches & snacks

",,Monday to Friday  09:00 -16:00,,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/bio-cafe,
cafe,Ziggy's,52.62109634,1.241573095,,,Ziggy's Espresso & Sandwich Bar uses a local East Anglian coffee roaster to bring you our very own specially selected exclusive blends of coffee,,"Term time<br/>
Monday to Friday  08:00-19:00<br/>
Saturday and Sunday 09:30-17:00<br/>
<br/>
Vacation Period<br/>
Monday to Friday 09:00-17:00<br/>
Saturday and Sunday 09:30-17:00",,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/ziggys-espresso-bar,
cafe,Blend,52.62157,1.24073,,,"On the move or pressed for time? Blend offers great snacks, snadwiches and light hot meals in a grab and go style.",,Monday to Friday: 08:30-15:30 - We are closed out of term,,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/blend,
cafe,Vista,52.62165,1.24073,,,"Vista is an oasis of tranquility for staff and post graduates alike. Serving superb barista coffee, delicious lunches and tasty afternoon snacks.",,Monday to Friday 08:30 to 16:00,,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/vista,
cafe,Zest,52.621483,1.24073,,,"From breakfast to dinner and everything in between, Zest is the ultimate place to be offering great quality, freshly cooked, responsibly sourced dishes to suit every palette at any time of day",,"Monday - Friday: 07:30 to 17:30, Saturday and Sunday: 09:30 to 16:30 (non-term time Monday - Friday: 07:30 to 17.00, closed at the weekends)
",,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/zest,
cafe,Sports Park Cafe,52.62424867,1.241428256,,,Sportscafe - serving a wide variety of hot and cold snacks all day. From the famous SP 'All Day' Breakfast to our very own freshly made Soup of the Day. We also have the 'Proud to Serve' Costa brand which you can either drink in or takeaway,,"Monday to Thursday 08:00 to 22:00<br/>
Friday to Saturday 08:00 to 21:00<br/>Last food orders 30mins before close",,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/sports-park-cafe,
cafe,INTO Cafe,52.62333686,1.245580316,,,,,,,https://twitter.com/INTOUEACafe,
cafe,Modern Life Cafe,52.62064692,1.234030724,,,The Modern Life Cafe & Bar can be found within the beautiful glass fronted part of the museum,,,,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/sainsbury-centre-for-visual-arts,
cafe,East End Cafe,52.62005095,1.235087514,,,The East End Cafe can be found near to the gift shop,,,,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/sainsbury-centre-for-visual-arts,
cafe,Tonic,52.61957546,1.223065853,,,"Located in the Edith Cavell building, Tonic offers fresh, homemade sandwiches, scones and cakes with an array of coffees, teas and soft drinks.  ",,Monday to Friday: 8:30am to 15:30pm (closed throughout August),,,
cafe,Costa @ Cafe 57,52.622103,1.234125,,,"Enjoy Costa Coffee, fruit coolers and many more delicious Costa favouties. Compliment your drink with homemade cakes, a fantastic range of sandwiches and snacks incldung hot options at lunchtime.",,Monday to Friday 08.45 - 15.30,,https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/cafe-57https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/cafe-57,
campus_fac,Astro Turf Pitches,52.626198,1.241605,,,,,,,,
campus_fac,CareerCentral,52.621298,1.241192,,,"The Careers Service provides information, advice and guidance services for all UEA students and graduates, helping them into employment and further study.",,Open 9am-5pm Monday to Friday,,https://mycareercentral.uea.ac.uk/students/registration/providerwho?returnURL=%2F,
campus_fac,Chancellors Drive Annexes,52.62189096,1.23332262,,,,,,,,
campus_fac,Multifaith Centre,52.621799,1.240608,,,UEA's Multifaith Centre is a spiritual meeting place and community centre on campus.,,"We are open for staff and students of the University from 10 am to 4 pm, Monday to Friday during semester time and on Sunday evenings for services. ",,https://portal.uea.ac.uk/multifaith,
